Snapshot,Snapshot UTC,GW,GW finished,ID,Player,Team,Pos,Price,Owned %,Form,Total pts,GW pts,PPG,Minutes,Starts,Goals,Assists,xGI,DEFCON,DEFCON per 90,Exp pts next,Status,Chance next GW,Transfers in (GW),Transfers out (GW),Price change (GW)
2026-08-21,2026-08-21 21:03,1,False,1,Raya,ARS,GKP,6.0,37.6,6.0,6,6,6.0,90,1,0,0,0.0,0,0.0,4.0,Available,,1915,1672,0.0
2026-08-21,2026-08-21 21:03,1,False,2,Arrizabalaga,ARS,GKP,5.0,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,2.6,Available,,19,74,0.0
2026-08-21,2026-08-21 21:03,1,False,3,Meslier,ARS,GKP,5.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,2.6,Available,,8,28,0.0
2026-08-21,2026-08-21 21:03,1,False,4,Gabriel,ARS,DEF,8.0,29.7,5.0,5,5,5.0,90,1,0,0,0.05,3,3.0,4.0,Available,,1748,3774,0.0
2026-08-21,2026-08-21 21:03,1,False,5,J.Timber,ARS,DEF,6.5,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,Injured,0.0,27,188,0.0
2026-08-21,2026-08-21 21:03,1,False,6,Saliba,ARS,DEF,6.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,Injured,0.0,68,476,0.0
2026-08-21,2026-08-21 21:03,1,False,7,Lewis-Skelly,ARS,MID,5.5,0.7,3.0,3,3,3.0,90,1,0,0,0.16,7,7.0,2.0,Available,,910,251,0.0
2026-08-21,2026-08-21 21:03,1,False,8,Calafiori,ARS,DEF,5.5,39.8,9.0,9,9,9.0,80,1,0,1,0.17,5,5.62,2.5,Available,,18028,1344,0.0
2026-08-21,2026-08-21 21:03,1,False,9,Hincapie,ARS,DEF,5.5,1.8,1.0,1,1,1.0,9,0,0,0,0.0,0,0.0,2.5,Available,,404,3151,0.0
2026-08-21,2026-08-21 21:03,1,False,10,White,ARS,DEF,5.5,4.5,11.0,11,11,11.0,90,1,0,1,0.3,5,5.0,2.5,Available,100.0,1824,639,0.0
2026-08-21,2026-08-21 21:03,1,False,11,Mosquera,ARS,DEF,5.5,6.4,6.0,6,6,6.0,90,1,0,0,0.0,6,6.0,2.5,Available,,1603,1753,0.0
2026-08-21,2026-08-21 21:03,1,False,12,Saka,ARS,MID,9.5,9.3,9.0,9,9,9.0,67,1,1,0,0.71,7,9.4,3.2,Available,,2569,565,0.0
2026-08-21,2026-08-21 21:03,1,False,13,Rice,ARS,MID,7.5,18.1,3.0,3,3,3.0,67,1,0,0,0.14,5,6.72,2.6,Available,,2603,4164,0.0
2026-08-21,2026-08-21 21:03,1,False,14,Eze,ARS,MID,6.5,2.1,1.0,1,1,1.0,14,0,0,0,0.03,2,12.86,2.3,Available,,398,2321,0.0
2026-08-21,2026-08-21 21:03,1,False,15,Ødegaard,ARS,MID,6.5,8.1,11.0,11,11,11.0,75,1,1,0,0.3,8,9.6,2.3,Available,,5726,1364,0.0
2026-08-21,2026-08-21 21:03,1,False,16,Madueke,ARS,MID,6.5,0.3,1.0,1,1,1.0,22,0,0,0,0.04,2,8.18,2.3,Available,,64,416,0.0
2026-08-21,2026-08-21 21:03,1,False,17,Merino,ARS,MID,6.0,0.7,1.0,1,1,1.0,14,0,0,0,0.13,2,12.86,2.1,Available,,183,822,0.0
2026-08-21,2026-08-21 21:03,1,False,18,Martinelli,ARS,MID,6.5,0.2,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,2.3,Available,,87,448,0.0
2026-08-21,2026-08-21 21:03,1,False,19,Zubimendi,ARS,MID,5.5,1.2,1.0,1,1,1.0,22,0,0,0,0.02,3,12.27,2.0,Available,,107,914,0.0
2026-08-21,2026-08-21 21:03,1,False,20,Dowman,ARS,MID,5.5,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,2.0,Available,,35,135,0.0
2026-08-21,2026-08-21 21:03,1,False,21,Nørgaard,EVE,MID,5.0,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,Injured,0.0,5,133,0.0
2026-08-21,2026-08-21 21:03,1,False,22,Nwaneri,ARS,MID,5.5,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,2.0,Available,,6,20,0.0
2026-08-21,2026-08-21 21:03,1,False,23,Fábio Vieira,ARS,MID,5.5,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,2.0,Available,,4,6,0.0
2026-08-21,2026-08-21 21:03,1,False,24,Nelson,ARS,MID,5.5,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,2.0,Available,,3,5,0.0
2026-08-21,2026-08-21 21:03,1,False,25,Gyökeres,ARS,FWD,7.5,9.1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,2.4,Available,,511,10342,0.0
2026-08-21,2026-08-21 21:03,1,False,26,Havertz,ARS,FWD,7.5,5.4,6.0,6,6,6.0,90,1,1,0,0.27,2,2.0,2.4,Available,,9515,773,0.0
2026-08-21,2026-08-21 21:03,1,False,27,G.Jesus,ARS,FWD,6.0,0.4,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,2.0,Available,,135,444,0.0
2026-08-21,2026-08-21 21:03,1,False,28,Martinez,AVL,GKP,5.0,4.4,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,2.6,Available,,569,718,0.0
2026-08-21,2026-08-21 21:03,1,False,29,M.Bizot,AVL,GKP,4.5,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,1.9,Available,,26,13,0.0
2026-08-21,2026-08-21 21:03,1,False,30,Digne,AVL,DEF,4.5,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,Unavailable,0.0,0,427,0.0
2026-08-21,2026-08-21 21:03,1,False,31,Konsa,ARS,DEF,4.5,13.3,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,1.7,Available,,3765,11977,0.0
2026-08-21,2026-08-21 21:03,1,False,32,Cash,AVL,DEF,4.5,8.9,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,1.7,Available,,4558,652,0.0
2026-08-21,2026-08-21 21:03,1,False,33,Mings,AVL,DEF,4.5,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,1.7,Available,,443,41,0.0
2026-08-21,2026-08-21 21:03,1,False,34,Pau,AVL,DEF,4.5,0.4,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,1.7,Available,,277,48,0.0
2026-08-21,2026-08-21 21:03,1,False,35,Bogarde,AVL,MID,5.0,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,1.5,Available,,85,23,0.0
2026-08-21,2026-08-21 21:03,1,False,36,Maatsen,AVL,DEF,4.5,0.8,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,1.7,Available,,341,68,0.0
2026-08-21,2026-08-21 21:03,1,False,37,Lindelöf,AVL,DEF,4.5,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,1.7,Available,,221,42,0.0
2026-08-21,2026-08-21 21:03,1,False,38,A.García,AVL,DEF,4.0,1.8,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,1.0,Available,,547,199,0.0
2026-08-21,2026-08-21 21:03,1,False,39,Nedeljkovic,AVL,DEF,4.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,Unavailable,0.0,0,434,0.0
2026-08-21,2026-08-21 21:03,1,False,40,Rogers,CHE,MID,7.5,24.4,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,2.6,Available,,1743,1580,0.0
2026-08-21,2026-08-21 21:03,1,False,41,Buendía,AVL,MID,6.0,1.4,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,2.1,Available,,273,200,0.0
2026-08-21,2026-08-21 21:03,1,False,42,Guessand,CRY,MID,5.5,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,2.0,Available,,19,12,0.0
2026-08-21,2026-08-21 21:03,1,False,43,Tielemans,MUN,MID,6.0,2.6,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,2.1,Available,100.0,754,358,0.0
2026-08-21,2026-08-21 21:03,1,False,44,Bailey,AVL,MID,5.5,0.2,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,2.0,Available,,68,41,0.0
2026-08-21,2026-08-21 21:03,1,False,45,McGinn,AVL,MID,5.5,3.3,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,2.0,Available,,479,368,0.0
2026-08-21,2026-08-21 21:03,1,False,46,Barkley,AVL,MID,5.0,0.2,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,1.5,Available,,133,49,0.0
2026-08-21,2026-08-21 21:03,1,False,47,Kamara,AVL,MID,5.0,0.4,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,1.5,Available,100.0,211,94,0.0
2026-08-21,2026-08-21 21:03,1,False,48,Onana,AVL,MID,5.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,Injured,0.0,9,20,0.0
2026-08-21,2026-08-21 21:03,1,False,49,Iling Jr,AVL,MID,5.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,Unavailable,0.0,0,12,0.0
2026-08-21,2026-08-21 21:03,1,False,50,Burrowes,AVL,MID,4.5,0.7,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,1.0,Available,,217,96,0.0
2026-08-21,2026-08-21 21:03,1,False,51,George Hemmings,AVL,MID,4.5,0.7,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,1.0,Available,,151,64,0.0
2026-08-21,2026-08-21 21:03,1,False,52,Alysson,AVL,MID,5.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,1.5,Available,,20,7,0.0
2026-08-21,2026-08-21 21:03,1,False,53,Manzambi,AVL,MID,6.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,Injured,0.0,17,548,0.0
2026-08-21,2026-08-21 21:03,1,False,54,Gomes,AVL,MID,5.5,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,Injured,0.0,4,95,0.0
2026-08-21,2026-08-21 21:03,1,False,55,Watkins,AVL,FWD,8.0,10.2,0.0,0,0,0.0,0,0,0,0,0.0,0,0.0,2.5,Available,,556,1901,0.0
